,Embarked,class,Age,Fare,isFemale,Survived
0,3,3,22.0,7.25,0,0
1,1,1,38.0,71.2833,1,1
2,3,3,26.0,7.925,1,1
3,3,1,35.0,53.1,1,1
4,3,3,35.0,8.05,0,0
5,2,3,29.69911764705882,8.4583,0,0
6,3,1,54.0,51.8625,0,0
7,3,3,2.0,21.075,0,0
8,3,3,27.0,11.1333,1,1
9,1,2,14.0,30.0708,1,1
10,3,3,4.0,16.7,1,1
11,3,1,58.0,26.55,1,1
12,3,3,20.0,8.05,0,0
13,3,3,39.0,31.275,0,0
14,3,3,14.0,7.8542,1,0
15,3,2,55.0,16.0,1,1
16,2,3,2.0,29.125,0,0
17,3,2,29.69911764705882,13.0,0,1
18,3,3,31.0,18.0,1,0
19,1,3,29.69911764705882,7.225,1,1
20,3,2,35.0,26.0,0,0
21,3,2,34.0,13.0,0,1
22,2,3,15.0,8.0292,1,1
23,3,1,28.0,35.5,0,1
24,3,3,8.0,21.075,1,0
25,3,3,38.0,31.3875,1,1
26,1,3,29.69911764705882,7.225,0,0
27,3,1,19.0,263.0,0,0
28,2,3,29.69911764705882,7.8792,1,1
29,3,3,29.69911764705882,7.8958,0,0
30,1,1,40.0,27.7208,0,0
31,1,1,29.69911764705882,146.5208,1,1
32,2,3,29.69911764705882,7.75,1,1
33,3,2,66.0,10.5,0,0
34,1,1,28.0,82.1708,0,0
35,3,1,42.0,52.0,0,0
36,1,3,29.69911764705882,7.2292,0,1
37,3,3,21.0,8.05,0,0
38,3,3,18.0,18.0,1,0
39,1,3,14.0,11.2417,1,1
40,3,3,40.0,9.475,1,0
41,3,2,27.0,21.0,1,0
42,1,3,29.69911764705882,7.8958,0,0
43,1,2,3.0,41.5792,1,1
44,2,3,19.0,7.8792,1,1
45,3,3,29.69911764705882,8.05,0,0
46,2,3,29.69911764705882,15.5,0,0
47,2,3,29.69911764705882,7.75,1,1
48,1,3,29.69911764705882,21.6792,0,0
49,3,3,18.0,17.8,1,0
50,3,3,7.0,39.6875,0,0
51,3,3,21.0,7.8,0,0
52,1,1,49.0,76.7292,1,1
53,3,2,29.0,26.0,1,1
54,1,1,65.0,61.9792,0,0
55,3,1,29.69911764705882,35.5,0,1
56,3,2,21.0,10.5,1,1
57,1,3,28.5,7.2292,0,0
58,3,2,5.0,27.75,1,1
59,3,3,11.0,46.9,0,0
60,1,3,22.0,7.2292,0,0
61,4,1,38.0,80.0,1,1
62,3,1,45.0,83.475,0,0
63,3,3,4.0,27.9,0,0
64,1,1,29.69911764705882,27.7208,0,0
65,1,3,29.69911764705882,15.2458,0,1
66,3,2,29.0,10.5,1,1
67,3,3,19.0,8.1583,0,0
68,3,3,17.0,7.925,1,1
69,3,3,26.0,8.6625,0,0
70,3,2,32.0,10.5,0,0
71,3,3,16.0,46.9,1,0
72,3,2,21.0,73.5,0,0
73,1,3,26.0,14.4542,0,0
74,3,3,32.0,56.4958,0,1
75,3,3,25.0,7.65,0,0
76,3,3,29.69911764705882,7.8958,0,0
77,3,3,29.69911764705882,8.05,0,0
78,3,2,0.83,29.0,0,1
79,3,3,30.0,12.475,1,1
80,3,3,22.0,9.0,0,0
81,3,3,29.0,9.5,0,1
82,2,3,29.69911764705882,7.7875,1,1
83,3,1,28.0,47.1,0,0
84,3,2,17.0,10.5,1,1
85,3,3,33.0,15.85,1,1
86,3,3,16.0,34.375,0,0
87,3,3,29.69911764705882,8.05,0,0
88,3,1,23.0,263.0,1,1
89,3,3,24.0,8.05,0,0
90,3,3,29.0,8.05,0,0
91,3,3,20.0,7.8542,0,0
92,3,1,46.0,61.175,0,0
93,3,3,26.0,20.575,0,0
94,3,3,59.0,7.25,0,0
95,3,3,29.69911764705882,8.05,0,0
96,1,1,71.0,34.6542,0,0
97,1,1,23.0,63.3583,0,1
98,3,2,34.0,23.0,1,1
99,3,2,34.0,26.0,0,0
100,3,3,28.0,7.8958,1,0
101,3,3,29.69911764705882,7.8958,0,0
102,3,1,21.0,77.2875,0,0
103,3,3,33.0,8.6542,0,0
104,3,3,37.0,7.925,0,0
105,3,3,28.0,7.8958,0,0
106,3,3,21.0,7.65,1,1
107,3,3,29.69911764705882,7.775,0,1
108,3,3,38.0,7.8958,0,0
109,2,3,29.69911764705882,24.15,1,1
110,3,1,47.0,52.0,0,0
111,1,3,14.5,14.4542,1,0
112,3,3,22.0,8.05,0,0
113,3,3,20.0,9.825,1,0
114,1,3,17.0,14.4583,1,0
115,3,3,21.0,7.925,0,0
116,2,3,70.5,7.75,0,0
117,3,2,29.0,21.0,0,0
118,1,1,24.0,247.5208,0,0
119,3,3,2.0,31.275,1,0
120,3,2,21.0,73.5,0,0
121,3,3,29.69911764705882,8.05,0,0
122,1,2,32.5,30.0708,0,0
123,3,2,32.5,13.0,1,1
124,3,1,54.0,77.2875,0,0
125,1,3,12.0,11.2417,0,1
126,2,3,29.69911764705882,7.75,0,0
127,3,3,24.0,7.1417,0,1
128,1,3,29.69911764705882,22.3583,1,1
129,3,3,45.0,6.975,0,0
130,1,3,33.0,7.8958,0,0
131,3,3,20.0,7.05,0,0
132,3,3,47.0,14.5,1,0
133,3,2,29.0,26.0,1,1
134,3,2,25.0,13.0,0,0
135,1,2,23.0,15.0458,0,0
136,3,1,19.0,26.2833,1,1
137,3,1,37.0,53.1,0,0
138,3,3,16.0,9.2167,0,0
139,1,1,24.0,79.2,0,0
140,1,3,29.69911764705882,15.2458,1,0
