AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet Only,Kentucky,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","05 [0.59, 0.81]",51673,0.000503,0.0005302029413
HIGH,Internet/Voice,So Cal North,"01 [0.0, 0.0]","04 [8.53, 12.29]","09 [2.80, 440.64]",21454,0.000373,0.0004561490104
HIGH,Internet Only,West Florida,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","08 [1.65, 2.80]",31666,0.000663,0.0005092795577
HIGH,Video/Internet,"Greenville, SC / Georgia","08 [9.1684, 16.5179]","02 [2.13, 5.13]","01 [0.009, 0.13]",31856,0.001067,0.001096855043
LOW,Internet/Voice,So Cal Central,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","09 [2.80, 440.64]",11665,0.000514,0.0004434033724
ZERO,Video/Internet/Voice,North Texas,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","04 [0.41, 0.59]",122,0.000000,0.002618510657
HIGH,Internet Only,South Carolina,"04 [1.1254, 1.9139]","06 [16.54, 21.71]","08 [1.65, 2.80]",23723,0.000253,0.000510102177
HIGH,Video/Internet/Voice,Western NY,"02 [0.1236, 0.597]","09 [40.36, 1134.70]","06 [0.81, 1.13]",3757,0.000799,0.001132423058
LOW,Internet Only,Hawaii,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","07 [1.13, 1.65]",2455,0.000000,0.0004517773336
HIGH,Video/Internet,Manhattan / Staten Is / Mt Ver,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","09 [2.80, 440.64]",4188,0.000239,0.0008975956152
ZERO,Internet Only,Northern Ohio,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","06 [0.81, 1.13]",1224,0.000817,0.0008295610188
HIGH,Internet Only,Central Texas,NULL,"05 [12.29, 16.54]","08 [1.65, 2.80]",1604,0.000000,0.0007054846565
LOW,Internet Only,Western NC,NULL,"04 [8.53, 12.29]","01 [0.009, 0.13]",155,0.000000,0.0008151387332
